category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0099640	0.9190016680251	0.999999999849297	1	1	axo-dendritic protein transport	BP	0.973351229037337	1
GO:0101024	0.9190016680251	0.999999999849297	1	1	mitotic nuclear membrane organization	BP	0.973351229037337	1
GO:0102140	0.9190016680251	0.999999999849297	1	1	heparan sulfate N-deacetylase activity	MF	0.973351229037337	1
GO:0102531	0.9190016680251	0.999999999849297	1	1	ecdysteroid-phosphate phosphatase activity	MF	0.973351229037337	1
GO:0102757	0.9190016680251	0.999999999849297	1	1	NADPH phosphatase activity	MF	0.973351229037337	1
GO:0106006	0.9190016680251	0.999999999849297	1	1	cytoskeletal protein-membrane anchor activity	MF	0.973351229037337	1
GO:0106058	0.9190016680251	0.999999999849297	1	1	positive regulation of calcineurin-mediated signaling	BP	0.973351229037337	1
GO:0106118	0.9190016680251	0.999999999849297	1	1	regulation of sterol biosynthetic process	BP	0.973351229037337	1
GO:0106219	0.9190016680251	0.999999999849297	1	1	zinc ion sensor activity	MF	0.973351229037337	1
GO:0106292	0.9190016680251	0.999999999849297	1	1	superoxide-generating NADPH oxidase activity	MF	0.973351229037337	1
GO:0106300	0.9190016680251	0.999999999849297	1	1	protein-DNA covalent cross-linking repair	BP	0.973351229037337	1
GO:0106363	0.9190016680251	0.999999999849297	1	1	protein-cysteine methyltransferase activity	MF	0.973351229037337	1
GO:0110017	0.9190016680251	0.999999999849036	1	1	cap-independent translational initiation of linear mRNA	BP	0.973351229037337	1
GO:0110097	0.9190016680251	0.999999999849297	1	1	regulation of calcium import into the mitochondrion	BP	0.973351229037337	1
GO:0110099	0.9190016680251	0.999999999849297	1	1	negative regulation of calcium import into the mitochondrion	BP	0.973351229037337	1
GO:0110104	0.9190016680251	0.999999999849297	1	1	mRNA alternative polyadenylation	BP	0.973351229037337	1
GO:0120186	0.9190016680251	0.999999999849297	1	1	negative regulation of protein localization to chromatin	BP	0.973351229037337	1
GO:0140024	0.9190016680251	0.999999999849297	1	1	plus-end-directed endosome transport along mitotic spindle midzone microtubule	BP	0.973351229037337	1
GO:0140035	0.9190016680251	0.999999999849297	1	1	ubiquitination-like modification-dependent protein binding	MF	0.973351229037337	1
GO:0140036	0.9190016680251	0.999999999849297	1	1	ubiquitin-dependent protein binding	MF	0.973351229037337	1
GO:0140040	0.9190016680251	0.999999999849297	1	1	mitochondrial polycistronic RNA processing	BP	0.973351229037337	1
GO:0140135	0.9190016680251	0.999999999849297	1	1	mechanosensitive cation channel activity	MF	0.973351229037337	1
GO:0140243	0.9190016680251	0.999999999849297	1	1	regulation of translation at synapse	BP	0.973351229037337	1
GO:0140245	0.9190016680251	0.999999999849297	1	1	regulation of translation at postsynapse	BP	0.973351229037337	1
GO:0140259	0.9190016680251	0.999999999849297	1	1	PRC1 complex binding	MF	0.973351229037337	1
GO:0140262	0.9190016680251	0.999999999849297	1	1	mRNA cap binding complex binding	MF	0.973351229037337	1
GO:0140285	0.9190016680251	0.999999999849297	1	1	endosome fission	BP	0.973351229037337	1
GO:0140410	0.9190016680251	0.999999999849297	1	1	solute:bicarbonate symporter activity	MF	0.973351229037337	1
GO:0140416	0.9190016680251	0.999999999849297	1	1	transcription regulator inhibitor activity	MF	0.973351229037337	1
GO:0140466	0.9190016680251	0.999999999849036	1	1	iron-sulfur cluster export from the mitochondrion	BP	0.973351229037337	1
GO:0140493	0.9190016680251	0.999999999849297	1	1	very long-chain fatty acid beta-oxidation	BP	0.973351229037337	1
GO:0140496	0.9190016680251	0.999999999849297	1	1	gamma-tubulin complex binding	MF	0.973351229037337	1
GO:0140569	0.9190016680251	0.999999999849297	1	1	extraction of mislocalized protein from ER membrane	BP	0.973351229037337	1
GO:0140585	0.9190016680251	0.999999999849297	1	1	promoter-enhancer loop anchoring activity	MF	0.973351229037337	1
GO:0140613	0.9190016680251	0.999999999849297	1	1	P-type manganese transporter activity	MF	0.973351229037337	1
GO:0140659	0.9190016680251	0.999999999849297	1	1	cytoskeletal motor regulator activity	MF	0.973351229037337	1
GO:0140660	0.9190016680251	0.999999999849297	1	1	cytoskeletal motor activator activity	MF	0.973351229037337	1
GO:0140682	0.9190016680251	0.999999999849297	1	1	histone H3-di/monomethyl-lysine-4 FAD-dependent demethylase activity	MF	0.973351229037337	1
GO:0140683	0.9190016680251	0.999999999849036	1	1	histone H3-di/monomethyl-lysine-9 demethylase activity	MF	0.973351229037337	1
GO:0140708	0.9190016680251	0.999999999849036	1	1	CAT tailing	BP	0.973351229037337	1
GO:0140784	0.9190016680251	0.999999999849297	1	1	metal ion sensor activity	MF	0.973351229037337	1
GO:0150012	0.9190016680251	0.999999999848588	1	1	positive regulation of neuron projection arborization	BP	0.973351229037337	1
GO:0150118	0.9190016680251	0.999999999849796	1	1	negative regulation of cell-substrate junction organization	BP	0.973351229037337	1
GO:1900005	0.9190016680251	0.999999999849297	1	1	positive regulation of serine-type endopeptidase activity	BP	0.973351229037337	1
GO:1900027	0.9190016680251	0.999999999849796	1	1	regulation of ruffle assembly	BP	0.973351229037337	1
GO:1900029	0.9190016680251	0.999999999849796	1	1	positive regulation of ruffle assembly	BP	0.973351229037337	1
GO:1900116	0.9190016680251	0.999999999849297	1	1	extracellular negative regulation of signal transduction	BP	0.973351229037337	1
GO:1900144	0.9190016680251	0.999999999849297	1	1	positive regulation of BMP secretion	BP	0.973351229037337	1
GO:1900271	0.9190016680251	0.999999999849297	1	1	regulation of long-term synaptic potentiation	BP	0.973351229037337	1
GO:1900376	0.9190016680251	0.999999999848615	1	1	regulation of secondary metabolite biosynthetic process	BP	0.973351229037337	1
GO:1900377	0.9190016680251	0.999999999848615	1	1	negative regulation of secondary metabolite biosynthetic process	BP	0.973351229037337	1
GO:1900745	0.9190016680251	0.999999999849297	1	1	positive regulation of p38MAPK cascade	BP	0.973351229037337	1
GO:1901099	0.9190016680251	0.999999999849297	1	1	negative regulation of signal transduction in absence of ligand	BP	0.973351229037337	1
GO:1901142	0.9190016680251	0.999999999849297	1	1	insulin metabolic process	BP	0.973351229037337	1
GO:1901143	0.9190016680251	0.999999999849297	1	1	insulin catabolic process	BP	0.973351229037337	1
GO:1901148	0.9190016680251	0.999999999849297	1	1	gene expression involved in extracellular matrix organization	BP	0.973351229037337	1
GO:1901190	0.9190016680251	0.999999999849297	1	1	regulation of formation of translation initiation ternary complex	BP	0.973351229037337	1
GO:1901202	0.9190016680251	0.999999999849297	1	1	negative regulation of extracellular matrix assembly	BP	0.973351229037337	1
GO:1901203	0.9190016680251	0.999999999849036	1	1	positive regulation of extracellular matrix assembly	BP	0.973351229037337	1
GO:1901223	0.9190016680251	0.999999999849297	1	1	negative regulation of NIK/NF-kappaB signaling	BP	0.973351229037337	1
GO:1901224	0.9190016680251	0.999999999849297	1	1	positive regulation of NIK/NF-kappaB signaling	BP	0.973351229037337	1
GO:1901291	0.9190016680251	0.999999999849297	1	1	negative regulation of double-strand break repair via single-strand annealing	BP	0.973351229037337	1
GO:1901339	0.9190016680251	0.999999999849297	1	1	regulation of store-operated calcium channel activity	BP	0.973351229037337	1
GO:1901341	0.9190016680251	0.999999999849297	1	1	positive regulation of store-operated calcium channel activity	BP	0.973351229037337	1
GO:1901375	0.9190016680251	0.999999999849297	1	1	acetate ester transmembrane transporter activity	MF	0.973351229037337	1
GO:1901409	0.9190016680251	0.999999999849297	1	1	positive regulation of phosphorylation of RNA polymerase II C-terminal domain	BP	0.973351229037337	1
GO:1901535	0.9190016680251	0.999999999849297	1	1	regulation of DNA demethylation	BP	0.973351229037337	1
GO:1901537	0.9190016680251	0.999999999849297	1	1	positive regulation of DNA demethylation	BP	0.973351229037337	1
GO:1901580	0.9190016680251	0.999999999849297	1	1	regulation of telomeric RNA transcription from RNA pol II promoter	BP	0.973351229037337	1
GO:1901582	0.9190016680251	0.999999999849297	1	1	positive regulation of telomeric RNA transcription from RNA pol II promoter	BP	0.973351229037337	1
GO:1901633	0.9190016680251	0.999999999849297	1	1	negative regulation of synaptic vesicle membrane organization	BP	0.973351229037337	1
GO:1901693	0.9190016680251	0.999999999849036	1	1	negative regulation of compound eye retinal cell apoptotic process	BP	0.973351229037337	1
GO:1901834	0.9190016680251	0.999999999849297	1	1	regulation of deadenylation-independent decapping of nuclear-transcribed mRNA	BP	0.973351229037337	1
GO:1901835	0.9190016680251	0.999999999849297	1	1	positive regulation of deadenylation-independent decapping of nuclear-transcribed mRNA	BP	0.973351229037337	1
GO:1901862	0.9190016680251	0.999999999849297	1	1	negative regulation of muscle tissue development	BP	0.973351229037337	1
GO:1901895	0.9190016680251	0.999999999849297	1	1	negative regulation of ATPase-coupled calcium transmembrane transporter activity	BP	0.973351229037337	1
GO:1901896	0.9190016680251	0.999999999849297	1	1	positive regulation of ATPase-coupled calcium transmembrane transporter activity	BP	0.973351229037337	1
GO:1901906	0.9190016680251	0.999999999849036	1	1	diadenosine pentaphosphate metabolic process	BP	0.973351229037337	1
GO:1901907	0.9190016680251	0.999999999849036	1	1	diadenosine pentaphosphate catabolic process	BP	0.973351229037337	1
GO:1901908	0.9190016680251	0.999999999849036	1	1	diadenosine hexaphosphate metabolic process	BP	0.973351229037337	1
GO:1901909	0.9190016680251	0.999999999849036	1	1	diadenosine hexaphosphate catabolic process	BP	0.973351229037337	1
GO:1901910	0.9190016680251	0.999999999849036	1	1	adenosine 5'-(hexahydrogen pentaphosphate) metabolic process	BP	0.973351229037337	1
GO:1901911	0.9190016680251	0.999999999849036	1	1	adenosine 5'-(hexahydrogen pentaphosphate) catabolic process	BP	0.973351229037337	1
GO:1901950	0.9190016680251	0.999999999849297	1	1	dense core granule transport	BP	0.973351229037337	1
GO:1902003	0.9190016680251	0.999999999848588	1	1	regulation of amyloid-beta formation	BP	0.973351229037337	1
GO:1902004	0.9190016680251	0.999999999848588	1	1	positive regulation of amyloid-beta formation	BP	0.973351229037337	1
GO:1902018	0.9190016680251	0.999999999849297	1	1	negative regulation of cilium assembly	BP	0.973351229037337	1
GO:1902031	0.9190016680251	0.999999999849297	1	1	regulation of NADP metabolic process	BP	0.973351229037337	1
GO:1902047	0.9190016680251	0.999999999849297	1	1	polyamine transmembrane transport	BP	0.973351229037337	1
GO:1902167	0.9190016680251	0.999999999849036	1	1	positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	BP	0.973351229037337	1
GO:1902231	0.9190016680251	0.999999999849036	1	1	positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage	BP	0.973351229037337	1
GO:1902235	0.9190016680251	0.999999999849297	1	1	regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	BP	0.973351229037337	1
GO:1902236	0.9190016680251	0.999999999849297	1	1	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	BP	0.973351229037337	1
GO:1902255	0.9190016680251	0.999999999849036	1	1	positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator	BP	0.973351229037337	1
GO:1902321	0.9190016680251	0.999999999849297	1	1	methyl-branched fatty acid biosynthetic process	BP	0.973351229037337	1
GO:1902371	0.9190016680251	0.999999999849848	1	1	negative regulation of tRNA catabolic process	BP	0.973351229037337	1
GO:1902375	0.9190016680251	0.999999999849297	1	1	nuclear tRNA 3'-trailer cleavage, endonucleolytic	BP	0.973351229037337	1
GO:1902412	0.9190016680251	0.999999999849297	1	1	regulation of mitotic cytokinesis	BP	0.973351229037337	1
GO:1902463	0.9190016680251	0.999999999849796	1	1	protein localization to cell leading edge	BP	0.973351229037337	1
GO:1902464	0.9190016680251	0.999999999849297	1	1	regulation of histone H3-K27 trimethylation	BP	0.973351229037337	1
GO:1902465	0.9190016680251	0.999999999849297	1	1	negative regulation of histone H3-K27 trimethylation	BP	0.973351229037337	1
GO:1902497	0.9190016680251	0.999999999849036	1	1	iron-sulfur cluster transmembrane transport	BP	0.973351229037337	1
GO:1902573	0.9190016680251	0.999999999849297	1	1	positive regulation of serine-type peptidase activity	BP	0.973351229037337	1
GO:1902636	0.9190016680251	0.999999999849297	1	1	kinociliary basal body	CC	0.973351229037337	1
GO:1902683	0.9190016680251	0.999999999849796	1	1	regulation of receptor localization to synapse	BP	0.973351229037337	1
GO:1902685	0.9190016680251	0.999999999849796	1	1	positive regulation of receptor localization to synapse	BP	0.973351229037337	1
GO:1902767	0.9190016680251	0.999999999849848	1	1	isoprenoid biosynthetic process via mevalonate	BP	0.973351229037337	1
GO:1902841	0.9190016680251	0.999999999849297	1	1	regulation of netrin-activated signaling pathway	BP	0.973351229037337	1
GO:1902843	0.9190016680251	0.999999999849297	1	1	positive regulation of netrin-activated signaling pathway	BP	0.973351229037337	1
GO:1902846	0.9190016680251	0.999999999849297	1	1	positive regulation of mitotic spindle elongation	BP	0.973351229037337	1
GO:1902875	0.9190016680251	0.999999999849297	1	1	regulation of embryonic pattern specification	BP	0.973351229037337	1
GO:1902930	0.9190016680251	0.999999999849297	1	1	regulation of alcohol biosynthetic process	BP	0.973351229037337	1
GO:1902953	0.9190016680251	0.999999999849297	1	1	positive regulation of ER to Golgi vesicle-mediated transport	BP	0.973351229037337	1
GO:1902956	0.9190016680251	0.999999999849036	1	1	regulation of mitochondrial electron transport, NADH to ubiquinone	BP	0.973351229037337	1
GO:1902965	0.9190016680251	0.999999999849297	1	1	regulation of protein localization to early endosome	BP	0.973351229037337	1
GO:1902966	0.9190016680251	0.999999999849297	1	1	positive regulation of protein localization to early endosome	BP	0.973351229037337	1
GO:1902991	0.9190016680251	0.999999999848588	1	1	regulation of amyloid precursor protein catabolic process	BP	0.973351229037337	1
GO:1902993	0.9190016680251	0.999999999848588	1	1	positive regulation of amyloid precursor protein catabolic process	BP	0.973351229037337	1
GO:1903019	0.9190016680251	0.999999999849297	1	1	negative regulation of glycoprotein metabolic process	BP	0.973351229037337	1
GO:1903048	0.9190016680251	0.999999999849297	1	1	regulation of acetylcholine-gated cation channel activity	BP	0.973351229037337	1
GO:1903049	0.9190016680251	0.999999999849297	1	1	negative regulation of acetylcholine-gated cation channel activity	BP	0.973351229037337	1
GO:1903077	0.9190016680251	0.999999999849297	1	1	negative regulation of protein localization to plasma membrane	BP	0.973351229037337	1
GO:1903147	0.9190016680251	0.999999999849297	1	1	negative regulation of autophagy of mitochondrion	BP	0.973351229037337	1
GO:1903205	0.9190016680251	0.999999999849297	1	1	regulation of hydrogen peroxide-induced cell death	BP	0.973351229037337	1
GO:1903206	0.9190016680251	0.999999999849297	1	1	negative regulation of hydrogen peroxide-induced cell death	BP	0.973351229037337	1
GO:1903209	0.9190016680251	0.999999999849297	1	1	positive regulation of oxidative stress-induced cell death	BP	0.973351229037337	1
GO:1903223	0.9190016680251	0.999999999849297	1	1	positive regulation of oxidative stress-induced neuron death	BP	0.973351229037337	1
GO:1903233	0.9190016680251	0.999999999849297	1	1	regulation of calcium ion-dependent exocytosis of neurotransmitter	BP	0.973351229037337	1
GO:1903286	0.9190016680251	0.999999999849297	1	1	regulation of potassium ion import	BP	0.973351229037337	1
GO:1903288	0.9190016680251	0.999999999849297	1	1	positive regulation of potassium ion import across plasma membrane	BP	0.973351229037337	1
GO:1903297	0.9190016680251	0.999999999849297	1	1	regulation of hypoxia-induced intrinsic apoptotic signaling pathway	BP	0.973351229037337	1
